segment_id,source_line_no,original_start_sec,original_end_sec,original_duration_sec,cut_start_sec,cut_end_sec,cut_duration_sec,ici,file_name,file_path
2428,2429,4334.827359,4335.006057,0.17869799999971292,4334.807358999999,4335.026057,0.21869800000058603,40.0,click_train_02428_start_4334.827s_ici_40.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02428_start_4334.827s_ici_40.0.wav
2429,2430,4335.006057,4335.054552,0.04849500000000262,4334.986056999999,4335.074552,0.08849500000087573,10.0,click_train_02429_start_4335.006s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02429_start_4335.006s_ici_10.0.wav
2430,2431,4335.075557,4335.115281,0.039724000000205706,4335.055557,4335.135281000001,0.07972400000107882,5.0,click_train_02430_start_4335.076s_ici_5.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02430_start_4335.076s_ici_5.0.wav
2431,2432,4335.208391,4335.428464,0.22007299999950192,4335.188391,4335.448464,0.26007300000037503,25.0,click_train_02431_start_4335.208s_ici_25.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02431_start_4335.208s_ici_25.0.wav
2432,2433,4335.428464,4335.516906,0.08844200000021374,4335.408463999999,4335.536906,0.12844200000108685,10.0,click_train_02432_start_4335.428s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02432_start_4335.428s_ici_10.0.wav
2433,2434,4335.639672,4335.910635,0.2709629999999379,4335.619672,4335.930635000001,0.310963000000811,25.0,click_train_02433_start_4335.640s_ici_25.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02433_start_4335.640s_ici_25.0.wav
2434,2435,4336.027385,4336.166578,0.13919299999997747,4336.007385,4336.186578000001,0.1791930000008506,15.0,click_train_02434_start_4336.027s_ici_15.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02434_start_4336.027s_ici_15.0.wav
2435,2436,4336.166578,4336.287677,0.12109899999995832,4336.146578,4336.307677000001,0.16109900000083144,25.0,click_train_02435_start_4336.167s_ici_25.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02435_start_4336.167s_ici_25.0.wav
2436,2437,4336.300604,4336.84863,0.5480260000003909,4336.280604,4336.868630000001,0.588026000001264,10.0,click_train_02436_start_4336.301s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02436_start_4336.301s_ici_10.0.wav
2437,2438,4336.869906,4337.104385,0.23447899999973743,4336.8499059999995,4337.124385,0.27447900000061054,10.0,click_train_02437_start_4336.870s_ici_10.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02437_start_4336.870s_ici_10.0.wav
2438,2439,4337.104385,4337.29825,0.19386500000018714,4337.084384999999,4337.31825,0.23386500000106025,15.0,click_train_02438_start_4337.104s_ici_15.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02438_start_4337.104s_ici_15.0.wav
2439,2440,4337.887349,4338.48101,0.5936610000007931,4337.867348999999,4338.501010000001,0.6336610000016663,30.0,click_train_02439_start_4337.887s_ici_30.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02439_start_4337.887s_ici_30.0.wav
2440,2441,4340.224266,4340.550021,0.3257549999998446,4340.204266,4340.570021,0.3657550000007177,45.0,click_train_02440_start_4340.224s_ici_45.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02440_start_4340.224s_ici_45.0.wav
2441,2442,4340.746708,4341.363724,0.6170160000001488,4340.726707999999,4341.383724,0.6570160000010219,45.0,click_train_02441_start_4340.747s_ici_45.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02441_start_4340.747s_ici_45.0.wav
2442,2443,4343.346021,4344.056891,0.7108699999998862,4343.326021,4344.076891000001,0.7508700000007593,30.0,click_train_02442_start_4343.346s_ici_30.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02442_start_4343.346s_ici_30.0.wav
2443,2444,4344.179979,4344.333156,0.15317700000014156,4344.159978999999,4344.353156,0.19317700000101468,15.0,click_train_02443_start_4344.180s_ici_15.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02443_start_4344.180s_ici_15.0.wav
2444,2445,4344.333156,4344.589266,0.2561100000002625,4344.313155999999,4344.609266,0.29611000000113563,20.0,click_train_02444_start_4344.333s_ici_20.0.wav,/Users/nfot413/dolphin_project/official_click_features/segments/click_train_02444_start_4344.333s_ici_20.0.wav
