window_start_sec,window_end_sec,window_mid_min,whistle_count,click_train_count,whistle_cluster0_count,click_cluster0_count,whistle_cluster1_count,click_cluster1_count,whistle_cluster2_count,click_cluster2_count,whistle_cluster0_ratio,click_cluster0_ratio,whistle_cluster1_ratio,click_cluster1_ratio,whistle_cluster2_ratio,click_cluster2_ratio,mean_official_ici,min_official_ici,mean_click_rate,mean_click_energy,mean_whistle_energy,mean_whistle_centroid,mean_whistle_bandwidth,foraging_score,social_score,arousal_score,conflict_like_score,avoidance_stress_score,courtship_affiliative_score,positive_like_score,negative_like_score,final_behavior_candidate,confidence,valence_candidate,arousal_level
2700.0,2730.0,45.25,1,43,0,32,1,2,0,9,0.0,0.7441860465116279,1.0,0.046511627906976744,0.0,0.20930232558139536,14.069767441860465,5.0,110.12139194903219,0.15445219985274378,0.1068919897079467,23914.114556665776,34125.0,0.518926952949917,0.15698412698412698,0.5578331486068782,0.44958063319449293,0.4739769525420403,0.17217943515207043,0.0,0.4586618609357473,Foraging-like acoustic activity,low,negative-like candidate,medium
2730.0,2760.0,45.75,6,48,2,36,4,10,0,2,0.3333333333333333,0.75,0.6666666666666666,0.20833333333333334,0.0,0.041666666666666664,23.229166666666668,5.0,69.14870093619065,0.0995841020873437,0.08481255670388538,16261.300685501985,25328.125,0.3059240071347958,0.391904761904762,0.41684655420524874,0.4104855381934176,0.35421352874210776,0.23783713855340505,0.07173150171076922,0.3276496228569801,Conflict-like high-intensity activity,low,negative-like candidate,medium
2760.0,2790.0,46.25,2,24,1,16,1,3,0,5,0.5,0.6666666666666666,0.5,0.125,0.0,0.20833333333333334,24.166666666666668,5.0,119.22301760740898,0.1596371349878609,0.0822740420699119,8251.635708772359,4687.5,0.44883765900289735,0.3873809523809524,0.22978535887344825,0.38948008591825123,0.28785459770470256,0.22094359387291315,0.14260693402079164,0.2537025279560509,Foraging-like acoustic activity,low,negative-like candidate,low
2790.0,2820.0,46.75,1,37,1,25,0,10,0,2,1.0,0.6756756756756757,0.0,0.2702702702702703,0.0,0.05405405405405406,28.513513513513512,5.0,90.20961764619702,0.0840398050039201,0.0565033294260501,3504.4314507746085,10875.0,0.3151113165420028,0.545079365079365,0.06022683124233544,0.35588158545230464,0.08291700714050296,0.23489665769637658,0.2280809476545981,0.09215466960809526,Social communication candidate,medium,positive-like candidate,low
2820.0,2850.0,47.25,1,27,0,20,1,4,0,3,0.0,0.7407407407407407,1.0,0.14814814814814814,0.0,0.1111111111111111,23.51851851851852,5.0,96.1768102207842,0.11928126050366293,0.0631136819720268,12475.8558410255,24468.75,0.36688315605764454,0.20142857142857143,0.45671035035990265,0.3580300521850822,0.39347240548045526,0.2742316440657403,0.013274844737394237,0.3635008850886785,Avoidance / stress-like arousal,low,negative-like candidate,medium
2850.0,2880.0,47.75,1,27,0,19,1,0,0,8,0.0,0.7037037037037037,1.0,0.0,0.0,0.2962962962962963,15.925925925925926,5.0,161.76167181672537,0.17232123541611208,0.068831130862236,21370.65966079162,32625.0,0.5745978377903276,0.20142857142857143,0.5371929454587325,0.4082540942588659,0.3597760800259587,0.222643899304447,0.07933185208532238,0.3820124723797453,Foraging-like acoustic activity,medium,negative-like candidate,medium
2880.0,2910.0,48.25,0,7,0,5,0,1,0,1,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,5.0,5.0,183.10145340542837,0.17427490438733778,,,,0.45744785618213096,0.044444444444444446,0.0,0.18374319363550498,0.03794847813833693,0.0,0.1154966720385101,0.07472026626801169,Foraging-like acoustic activity,medium,unknown / mixed,low
2910.0,2940.0,48.75,0,12,0,5,0,1,0,6,0.0,0.4166666666666667,0.0,0.08333333333333333,0.0,0.5,9.583333333333334,5.0,195.4663054740042,0.22861337816963592,,,,0.6677522902047786,0.0761904761904762,0.0,0.24997803929283077,0.0,0.0,0.19300560406953754,0.07606374232391934,Foraging-like acoustic activity,high,positive-like candidate,low
2940.0,2970.0,49.25,2,18,0,12,2,0,0,6,0.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,15.277777777777779,5.0,153.08690172939603,0.18864871892664162,0.19851673394441605,17195.974663954654,22171.875,0.5570740136106539,0.17428571428571427,0.4871908931885125,0.41898753904487707,0.364340662196616,0.1689305466117509,0.05662304892968317,0.3818942581490295,Foraging-like acoustic activity,medium,negative-like candidate,medium
2970.0,3000.0,49.75,1,16,0,9,1,0,0,7,0.0,0.5625,1.0,0.0,0.0,0.4375,9.6875,5.0,148.00924463383888,0.20487099187448615,0.1056360080838203,22019.340002513407,37875.0,0.6207398109985534,0.13158730158730159,0.5563391892812064,0.4103612447819335,0.35216056656356215,0.12918455074866453,0.06532470448830878,0.39362843324542574,Foraging-like acoustic activity,medium,negative-like candidate,medium
3000.0,3030.0,50.25,2,24,1,15,1,1,0,8,0.5,0.625,0.5,0.041666666666666664,0.0,0.3333333333333333,15.625,5.0,138.29164431693724,0.18537222733721134,0.0744495522230863,9629.726679020001,15703.125,0.5725485916117292,0.3873809523809524,0.27006777532114423,0.4118733934030474,0.1895832995609145,0.19172274585418753,0.20375559272439095,0.2253745847005641,Foraging-like acoustic activity,medium,unknown / mixed,low
3030.0,3060.0,50.75,2,10,0,4,2,2,0,4,0.0,0.4,1.0,0.2,0.0,0.4,12.0,5.0,162.17862093660756,0.14737793207168576,0.1924285665154457,23421.69820410994,34500.0,0.5703797010227809,0.12349206349206349,0.5624016035374764,0.35420545824084493,0.40695683556521933,0.118273444337751,0.04720347756584353,0.4010589975723302,Foraging-like acoustic activity,medium,negative-like candidate,medium
3060.0,3090.0,51.25,0,9,0,6,0,0,0,3,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,12.222222222222221,5.0,145.47625031610175,0.1936205989784664,,,,0.5171267734633025,0.05714285714285714,0.0,0.20802232164502593,0.0,0.0,0.1443019599329338,0.06423638400433049,Foraging-like acoustic activity,medium,positive-like candidate,low
3090.0,3120.0,51.75,1,9,0,5,1,0,0,4,0.0,0.5555555555555556,1.0,0.0,0.0,0.4444444444444444,23.333333333333332,5.0,169.84631048135344,0.18498448448048693,0.1761191040277481,30125.110524788757,52593.75,0.5692430327508741,0.08714285714285713,0.6504624849886805,0.3828453094571546,0.378791577660048,0.09165376012982285,0.02889785992493324,0.42147313668333325,Foraging-like acoustic activity,medium,negative-like candidate,medium
3120.0,3150.0,52.25,0,9,0,6,0,0,0,3,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,17.22222222222222,5.0,161.5157308892551,0.20167001254028738,,,,0.5182292263906856,0.05714285714285714,0.0,0.21548265623756663,0.0,0.0,0.14244971807975565,0.06684750111171975,Foraging-like acoustic activity,medium,unknown / mixed,low
